image_name, comment_number, comment
1005216151.jpg, 4, Crowd standing outside a metro area .
100577935.jpg, 0, A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
100577935.jpg, 1, A man is putting a tattoo on a another 's man upper back .
100577935.jpg, 2, A man with a black shirt giving another man a tattoo .
100577935.jpg, 3, A man is putting tattoo on his back .
100577935.jpg, 4, A man getting a tattoo on his back .
1006452823.jpg, 0," two children , a girl and a boy are practicing their writing ."
1006452823.jpg, 1, Two children sit on a small seesaw in the sand .
1006452823.jpg, 2, Two children sitting on a teeter totter .
1006452823.jpg, 3, 2 kids playing on a seesaw
1006452823.jpg, 4, Two kids sit on a seesaw .
100652400.jpg, 0, A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
100652400.jpg, 1, A man wearing a hard hat and a caution vest is standing in the street waving an orange flag .
100652400.jpg, 2, A man in bright vest and hard hat holds a flag on a street corner covered in spray paint
100652400.jpg, 3, A construction worker is standing in the street and holding a red flag .
100652400.jpg, 4, A man wearing a reflective vest and a hard hat holds a flag in the road
1007129816.jpg, 0, The man with pierced ears is wearing glasses and an orange hat .
1007129816.jpg, 1, A man with glasses is wearing a beer can crocheted hat .
1007129816.jpg, 2, A man with gauges and glasses is wearing a Blitz hat .
1007129816.jpg, 3, A man in an orange hat starring at something .
1007129816.jpg, 4, A man wears an orange hat and glasses .
100716317.jpg, 0, A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
100716317.jpg, 1," A person dressed in a blue coat is standing in on a busy sidewalk , studying painting of a street scene ."
100716317.jpg, 2, A person with gray hair is painting in a public place surrounded by others who are also painting .
100716317.jpg, 3, Lady in blue coat with white and brown hat standing in front of a painting .
100716317.jpg, 4, Passerby admiring painting at an outdoor art fair .
1007205537.jpg, 0, A man stands on one foot while holding on to a waste basket .
1007205537.jpg, 1, A man in green pants and blue shirt pushing a cart .
1007205537.jpg, 2, Janitor pushing dolly outside with janitor tools .
1007205537.jpg, 3, A man in green pants walking down the road .
1007205537.jpg, 4, A man in bright pants is pushing a cart .
1007320043.jpg, 0, A small child grips onto the red ropes at the playground .
1007320043.jpg, 1, A little girl in pink climbs a rope bridge at the park .
1007320043.jpg, 2, The small child climbs on a red ropes on a playground .
1007320043.jpg, 3, A little girl climbing on red roping .
1007320043.jpg, 4, A child playing on a rope net .
100759042.jpg, 0, Young man in jacket holding a toothpick with something on the end of it
100759042.jpg, 1, A young man traveling on bus with a piece of flower in his hands .
100759042.jpg, 2, A teen holding an unknown object for photographers .
100759042.jpg, 3, A young man on a train holds an origami crane .
100759042.jpg, 4, You know i am looking like Justin Bieber .
10082347.jpg, 0, Young blond man in a blue and yellow jacket smiling while standing in front of a net .
10082347.jpg, 1, A young man in a black and yellow jacket is gazing at something and smiling .
10082347.jpg, 2, A young man holding a pole vault looks determined .
10082347.jpg, 3, A man is holding a pole and smiling .
10082347.jpg, 4, A smiling man looking at the sky .
10082348.jpg, 0, A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .
10082348.jpg, 1, A man is wearing a ball cap and holding a coffee cup between to urinals .
10082348.jpg, 2, a man is posing next to a urinal with a cup of coffee .
10082348.jpg, 3, A man holds a coffee cup while in the bathroom .
10082348.jpg, 4, A man standing at a urinal with a coffee cup .
100845130.jpg, 0, Five people walking with a multicolored sky in the background .
100845130.jpg, 1, Four people walking through the sunset in clear blue skies .
100845130.jpg, 2, Four people walking with the sun setting behind them .
100845130.jpg, 3, Four silhouettes decorate the horizon 's sunset .
100845130.jpg, 4, A group of people walking as the sun sets .
10090841.jpg, 0, A man with black hair sits in a restaurant with a glass of beer .
10090841.jpg, 1, A man is sitting at a table with a drink .
10090841.jpg, 2, A man is sitting at a table with a beer .
10090841.jpg, 3, A dark-haired man sitting drinking .
10090841.jpg, 4, A old man having a beer alone .
1009434119.jpg, 0, A black and white dog is running in a grassy garden surrounded by a white fence .
1009434119.jpg, 1, A Boston Terrier is running on lush green grass in front of a white fence .
1009434119.jpg, 2, A black and white dog is running through the grass .
1009434119.jpg, 3, A dog runs on the green grass near a wooden fence .
1009434119.jpg, 4, A Boston terrier is running in the grass .
1009692167.jpg, 0, An officer in a reflective vest stands at the front of his van with his dog .
1009692167.jpg, 1, A trained police dog sits next to his handler in front of the police van .
1009692167.jpg, 2, A security man with his watch dog is looking for something .
1009692167.jpg, 3, A policeman is standing with a German Shepherd dog .
1009692167.jpg, 4, A policeman stops on a street with a search dog .
101001624.jpg, 0," The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
101001624.jpg, 1, A young boy rides a bike down a snow covered road .
101001624.jpg, 2, A boy in the snow riding his bike down the street .
101001624.jpg, 3, A person riding a bike on a snowy road .
101001624.jpg, 4, A person riding a bike in snow .
1010031975.jpg, 0," Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van ."
1010031975.jpg, 1, small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking .
1010031975.jpg, 2, Five men in white short-sleeved shirts and ties stand in a parking lot .
1010031975.jpg, 3, A group of men wearing ties talk while standing on the street .
1010031975.jpg, 4, Colleges stop to take a break from there business meetings .
1010087179.jpg, 0, A tan man with a backwards hat looks at the camera while walking through a factory .
1010087179.jpg, 1, Older man working in a factory not looking too excited about the photograph .
1010087179.jpg, 2, A man in a white shirt and black camp among many machines .
1010087179.jpg, 3, A man with a backwards hat works on machinery .
1010087179.jpg, 4, A man wearing a backwards cap at work .
1010087623.jpg, 0, A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .
1010087623.jpg, 1, A black woman and a white man working in a factory setting packing jars with candles into boxes .
1010087623.jpg, 2, A woman is sorting white tall candles as a man in a green shirt stands behind her .
1010087623.jpg, 3, A warehouse manager assisting an employee .
1010087623.jpg, 4, Two people working on an assembly line .
10101477.jpg, 0," Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background ."
10101477.jpg, 1, A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .
10101477.jpg, 2, A man in a white and blue kimono is using a broom to sweep pavement .
10101477.jpg, 3, Man sweeping the street outside .
10101477.jpg, 4, Asian man sweeping the walkway .
1010470346.jpg, 0, two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by
1010470346.jpg, 1," A man leans into a car to talk to the driver , as a man on a bicycle looks on ."
1010470346.jpg, 2, A man on a bicycle watching a row of cars waiting to go through a checkpoint .
1010470346.jpg, 3, A park ranger talking to a tourist .
1010470346.jpg, 4, Two cars are parked outside .
1010673430.jpg, 0, A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .
1010673430.jpg, 1, Two young children eating a snack and playing in the grass .
1010673430.jpg, 2, Two young toddlers outside on the grass .
1010673430.jpg, 3, Two infants are at play in the yard .
1010673430.jpg, 4, 2 female babies eating chips .
101093029.jpg, 0, A person in tan pants is inside a silver mobile object while people watch .
101093029.jpg, 1, People are watching a person in a weird vehicle in a plaza .
101093029.jpg, 2, A man in a blue shirt driving a Segway type vehicle .
101093029.jpg, 3, a showing of product to advertise
101093029.jpg, 4, A crowd admiring modern art ?
101093045.jpg, 0," A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier ."
101093045.jpg, 1, A person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .
101093045.jpg, 2, A person riding in a futuristic single-person vehicle .
101093045.jpg, 3, man walking up to silver 4-wheeled chair
101093045.jpg, 4, A man walks by a silver vehicle .
1011572216.jpg, 0, bride and groom walking side by side out of focus on pathway next to brick building .
1011572216.jpg, 1, A beautiful bride walking on a sidewalk with her new husband .
1011572216.jpg, 2, A recently married couple pose for the camera .
1011572216.jpg, 3, A groom and bride are standing arm in arm .
1011572216.jpg, 4, A couple getting married .
1012150929.jpg, 0, A little boy plays with a Nintendo GameCube controller inside a McDonald 's .
1012150929.jpg, 1, A young boy plays a video game in a McDonald 's restaurant .
1012150929.jpg, 2, A young boy plays with a GameCube kiosk at McDonald 's .
1012150929.jpg, 3, A little boy playing GameCube at a McDonald 's .
1012150929.jpg, 4, A little kid playing GameCube at McDonald 's .
1012212859.jpg, 0, White dog with brown ears standing near water with head turned to one side .
1012212859.jpg, 1," Dog with orange ball at feet , stands on shore shaking off water"
1012212859.jpg, 2, A white dog shakes on the edge of a beach with an orange ball .
1012212859.jpg, 3, White dog playing with a red ball on the shore near the water .
1012212859.jpg, 4," A dog shakes its head near the shore , a red ball next to it ."
1012328893.jpg, 0, A group of people picnicking at picnic tables in front of a playground .
1012328893.jpg, 1, A group of people enjoying a beautiful day in the park .
1012328893.jpg, 2, A group of people are having a picnic at the park .
1012328893.jpg, 3, The reunion is in full swing with a moon bounce .
1012328893.jpg, 4, A group of people having a barbecue at a park .
101262930.jpg, 0," Two asian or spanish people , a woman and a man , sitting together in front of a glass window as cars pass ."
101262930.jpg, 1, A man in sunglasses puts his arm around a woman in a black and white blouse .
101262930.jpg, 2, A man in sunglasses puts his arm around a woman .
101262930.jpg, 3, A man and woman pose in front of some traffic .
101262930.jpg, 4, An Asian couple sitting on the bench .
